Fish Species,Cover,Area,Weight in LBS,Depth,ID,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.375,0-5,Day1,,,Mapping
Largemouth,Natural Rock,Bays/Pockets,2.4375,0-5,Day1,,,
Largemouth,Rip Rap,Lower Section Main Lake,4.375,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.1875,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,3.875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2,46152,Day1,,,
Largemouth,Boat Docks,Creeks,4.375,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.9375,46152,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.125,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.9375,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,4,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.1875,0-5,Day1,,,
Largemouth,Rip Rap,Lower Section Main Lake,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.625,0-5,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.6875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.5,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.125,0-5,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,3.5,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.1875,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.9375,46152,Day1,,,
Largemouth,Natural Rock,Creeks,2.1875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.9375,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,5.375,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,3,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,3.75,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.6875,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.625,46152,Day1,,,
Largemouth,Boat Docks,Creeks,2.0625,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.0625,15-20,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.125,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.8125,46310,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,3.375,46152,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,3.5,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.5,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.3125,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.1875,0-5,Day1,,,
Largemouth,Lay Downs,Creeks,2.25,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.1875,46152,Day1,,,
Largemouth,Natural Rock,Creeks,2.75,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,4.375,46310,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.1875,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,3.25,0-5,Day1,,,
Largemouth,Natural Rock,River,2.0625,0-5,Day1,,,
Largemouth,Point,Lower Section Main Lake,2,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.25,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,2,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.9375,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,4.6875,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.5,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,4.0625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.625,0-5,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,2.875,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,3.3125,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.4375,46152,Day1,,,
Largemouth,Marinas,Mid Section Main Lake,2.1875,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.1875,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.1875,0-5,Day1,,,
Largemouth,Lay Downs,Mid Section Main Lake,3.0625,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,3,0-5,Day1,,,
Largemouth,Lay Downs,Creeks,2.1875,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,3.125,46152,Day1,,,
Largemouth,Lay Downs,Creeks,2.375,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,3.625,0-5,Day1,,,
Spotted,Natural Rock,Creeks,2.1875,0-5,Day1,,,
Largemouth,Natural Rock,River,3.1875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.1875,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.5625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,5.6875,46152,Day1,,,
Largemouth,Rip Rap,Creeks,4.125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.8125,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,2.8125,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.5,0-5,Day1,,,
Largemouth,Lay Downs,Bays/Pockets,6.875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,5.4375,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.75,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,6.75,20+,Day1,,,
Spotted,Natural Rock,Creeks,2.0625,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.4375,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.0625,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.5,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2,46152,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,3.75,0-5,Day1,,,
Largemouth,Lay Downs,Creeks,2.5625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.3125,0-5,Day1,,,
Spotted,Natural Rock,Lower Section Main Lake,2.375,0-5,Day1,,,
Largemouth,Natural Rock,River,3.9375,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.75,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,3.125,46152,Day1,,,
Largemouth,Lay Downs,Bays/Pockets,2.6875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.25,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.1875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3,46152,Day1,,,
